"DONATE TO FARESHARE HERE - https://fareshare.org.uk/donate/","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLEASE DOWNLOAD THE SPREADSHEET TO FILTER / SORT BY YOUR AREA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IF YOU ARE A BUSINESS WHO WANTS TO ADD AN ENTRY, PLEASE  FILL IN THIS FORM https://forms.gle/5QZ3mw4HJy2GJqeW7 ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLICK HERE TO VIEW A MAP https://odileeds.github.io/FSM-support/map (created by @astronomyblog) ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","Town","City/Region","Postcode","Specific schools?","How to claim","Link to post","More details","","","","","","","","","","","","","","","","","","",""
"I Am Doner","Headlingley","Leeds","LS6 3AA","No","Order online","https://www.facebook.com/Iamdoneruk/posts/2813144942262239","We’ll be offering 50 completely free, healthy school meal alternatives a day to be ordered online and picked up from either our Headingley or Harrogate site from 5 pm next Wednesday to Sunday (28th Oct - 1st Nov).","","","","","","","","","","","","","","","","","","",""
"The Potting Shed","Guiseley","Leeds","LS20 8AA","No","Visit restaurant","https://www.facebook.com/ThePottingShedGuiseley/posts/720028211920086","free children's pizzas to anyone who needs help providing for their child from Monday to Friday, 12pm till 2pm.","","","","","","","","","","","","","","","","","","",""
"Eyres Monsell Club for young people","Eyres Monsell","Leicester","LE2 9AQ","No","Visit centre","https://twitter.com/BartramKeanan/status/1319682249403604992?s=20","FREE holiday hunger lunch bags all the way up until December 2020","","","","","","","","","","","","","","","","","","",""
"Harborough Market","Market Harborough","Leicestershire","LE16 9HB","No","Visit market","https://twitter.com/MarcusRashford/status/1319705693096710144?s=20","Free meal from children's menu","","","","","","","","","","","","","","","","","","",""
"Popat Mithai & Farsan","Leicester","Leicestershire","LE4 5AU","No","Call or text 07912623323","https://www.facebook.com/PopatMithai/posts/3589087634485948","Between 26-30th October, we will be offering pure vegetarian non-spicy lunchboxes to families with children on free school meals. Pick up will be at Popat Chai and Chaat, 47 Belgrave Road, Leicester LE46AR.","","","","","","","","","","","","","","","","","","",""
"Elite on the Bail","Lincoln","Liccoln","LN1 3AN","No","Visit restaurant","https://www.facebook.com/EliteontheBail/posts/207091084116704","From Tuesday 27th October to Friday  30th October we will feed any child under 16 from our childrens menu for free.","","","","","","","","","","","","","","","","","","",""
"Cafe Baraka","Cleethorpes","Lincolnshire","DN35 8LB","No","Message on Facebook","https://www.facebook.com/cafebaraka1/posts/837194430382715","Free lunch","","","","","","","","","","","","","","","","","","",""
"Market Hill Fisheries","Winterton","Lincolnshire","DN15 9PT","No","Visit restaurant","https://www.facebook.com/markethillfisheries/posts/3415389755242336","free hot meals for any child in our community that would normally have a food voucher. ","","","","","","","","","","","","","","","","","","",""
"Cleethorpes Fruit & Veg box delivery service","Cleethorpes","Lincolnshire","DN32 9AD","No","get in touch with Paula on 01472 231123","https://www.facebook.com/cleethorpesfruitandveg/posts/1576284875886809","free boxes of fruit/veg - collection or delivery","","","","","","","","","","","","","","","","","","",""
"Papa's Fish and Chips","Cleethorpes","Lincolnshire","DN35 8SF","No","pre-order your Free Meal online by visiting www.papasfishandchips.com","https://www.facebook.com/papasfishandchipshops/posts/3195809953881562","Cleethorpes/Grimsby, Hull, Scarborough & Whitby","","","","","","","","","","","","","","","","","","",""
"Taste Sandwich Bar","Dingle","Liverpool","L8 9RW","No","Message on Twitter","https://twitter.com/tastedingle/status/1319379807969345538","Free packed lunch","","","","","","","","","","","","","","","","","","",""
"The Watering Can","Liverpool","Liverpool","L18 1HQ","No","call on 0151.319.2366","https://www.facebook.com/WateringCanLiverpool/posts/828013754682558"," free takeaway packed lunches for kids who access free meals at school.","","","","","","","","","","","","","","","","","","",""
"Aubergine Cafe","Wirral","Liverpool","CH48 4DA","No","www.aubergine.cafe/kids","https://www.facebook.com/theaubergineco/posts/4063267990367634","Free sandwich","","","","","","","","","","","","","","","","","","",""
"The Willow Tree","Wirral","Liverpool","CH45 4NE","No","Visit restaurant","https://www.facebook.com/willowsliscard/posts/966261207220343","pop into the cafe and ask for a pack lunch","","","","","","","","","","","","","","","","","","",""
"Share a Slice / Pop Brixton","Brixton","London","SW9 8PQ","No","Visit restaurant","https://twitter.com/shareasliceLDN/status/1319566432338927622","Free 'Marcus Margherita' pizza","","","","","","","","","","","","","","","","","","",""
"Royal Borough of Greenwich","Greenwich","London","SE18 6HQ","No","Visit website for more info","https://www.royalgreenwich.gov.uk/info/200234/children_young_people_and_families/2108/holiday_meals_for_kids","","","","","","","","","","","","","","","","","","","",""
"Richmond Rugby Club","Richmond","London","TW9 2SF","No","contact Dom Palacio on CommunityDept@richmondfc.co.uk","https://richmondfc.co.uk/index.php/1630-richmond-rugby-to-supply-local-children-with-free-meals","our catering team at the Richmond Athletic Association (RAA) will cook daily nutritional meals which will then be delivered to local school children throughout our community. The meals will be collected each day from the Athletic Ground and delivered by our incredible army of Richmond Rugby volunteers.","","","","","","","","","","","","","","","","","","",""
"Time to Help","Enfield","London","","No","Email help@timetohelp.org.uk","https://twitter.com/MarcusRashford/status/1319626994418634754?s=20","Nutritious food packages","","","","","","","","","","","","","","","","","","",""
"The Poodle Club","Sydenham","London","SE26 5HB","No","Email poodlelunchclub@gmail.com","https://twitter.com/MarcusRashford/status/1319630568955498497?s=20","Packed sandwich lunch","","","","","","","","","","","","","","","","","","",""
"Rayrayz","Liverpool","Merseyside","L8 6SE","No","Message on Instagram","https://www.instagram.com/p/CGrjEKQHxei/","Free lunches","","","","","","","","","","","","","","","","","","",""
"Riddling Rack","Newton-Le-Willows","Merseyside","WA12 9SL","No","Visit restaurant","https://www.facebook.com/riddlingrack/posts/1033629133776656","Free lunch or early tea","","","","","","","","","","","","","","","","","","",""
"Toast 2 Roast","St Helens","Merseyside","WA11 7AB","No","Visit restaurant","https://www.facebook.com/toast2roast/posts/1790015514482299","Free meal","","","","","","","","","","","","","","","","","","",""
"Tranmere Rovers","Tranmere","Merseyside","CH42 9PY","Devonshire Park School ","","https://twitter.com/NicolaPalios/status/1319608545403437056?s=20","","","","","","","","","","","","","","","","","","","",""
"Horse & Jockey","Melling","Merseyside","L31 1DZ","No","Call 07731689949","https://twitter.com/HorseJockeyMel/status/1319617573072310272?s=20","Lunch packs for collection from Caunce Hall","","","","","","","","","","","","","","","","","","",""
"Runcorn Shopping City","Runcorn","Merseyside","WA7 2EU","No"," call 01928716363 each morning after 9am","https://www.facebook.com/runcornshopping/photos/a.218439654856066/3675769259123071","FREE kids packed lunches available to collect at the Shopping City from Monday-Friday at 12.00-13.00 next week.","","","","","","","","","","","","","","","","","","",""
"Walker Central FC","Walker","Newcastle","","","Visit clubhouse"," https://www.facebook.com/permalink.php?story_fbid=1051268881982942&id=559830414460127","We'll be at Walker Central clubhouse, Monkchester Road from 12pm-2pm starting Monday 26th October.
There will be a choice of ham, cheese or tuna sandwich, a bag of crisps a piece of fruit, a biscuit and a drink.","","","","","","","","","","","","","","","","","","",""
"Westerhope United Football Club","Lemington","Newcastle","NE15 8BB","No","Visit club","https://twitter.com/wutdfc/status/1319695606173007873?s=20","11am - 2pm everyday","","","","","","","","","","","","","","","","","","",""
"Real Food Delivered","Newcastle","Newcastle","NE15 7UT","No","Message on Facebook","https://www.facebook.com/RealFoodDelivered/posts/1565434230329563","Next week we are offering a free kids meal & snack for the children of anyone who is struggling throughout this difficult time. ","","","","","","","","","","","","","","","","","","",""
"Dukes Head","Great Yarmouth","Norfolk","NR30 1HP","No","Message on Facebook","https://www.facebook.com/DukesHeadGreatYarmouth/posts/208229563986090","20 packed lunches per day for children","","","","","","","","","","","","","","","","","","",""
"Community Lunches","Norwich","Norfolk","NR3 2LD","No","Visit centre","https://www.facebook.com/Communitypackedlunchesnorwich/posts/1093721947733063","Packed lunches and hampers on Fridays","","","","","","","","","","","","","","","","","","",""
"Oaklands Hotel","Norwich","Norfolk","NR7 0HH","No","Visit restaurant","https://www.facebook.com/norwich.norfolk.hotel/posts/10158783900694555","All kids eat free when any adult pays 10p for a coffee or tea ","","","","","","","","","","","","","","","","","","",""
"Swiss Cottage Cafe","Ilfracombe","North Devon","EX34 9DA","No","Visit restaurant","https://www.facebook.com/permalink.php?story_fbid=3606968752657384&id=342060245814934","pre-prepared packed lunch (comprising of a ham or cheese sandwich,  packet of  crisps and a piece of fruit)","","","","","","","","","","","","","","","","","","",""
"Portofino Ristorante","Harrogate","North Yorkshire","HG1 1JG","No","Message on Facebook","https://www.facebook.com/portofinoharrogate/posts/369999617764709","Free essentials","","","","","","","","","","","","","","","","","","",""
"Manjaros","Middlesbrough","North Yorkshire","TS1 3RF","No","Message on Facebook","https://www.facebook.com/ManjarosRestaurant/posts/3408853915921984","free essentials for any family living in the Middlesbrough area requiring help during next weeks school holidays","","","","","","","","","","","","","","","","","","",""
"Royal & Derngate","Northampton","Northamptonshire","NN1 1DP","No","Email meals@royalandderngate.co.uk","https://twitter.com/RoyalDerngate/status/1319586416138006528?s=20","Each bag will have a sandwich, fruit, drink + treat","","","","","","","","","","","","","","","","","","",""
"The Outpost Cafe","Northampton","Northamptonshire","NN1 5NX","No","Visit restaurant","https://www.facebook.com/RadlandsPlaza/posts/165993785174812","One free kids meal for children under 16 when you buy any of the options from our fuller adult meals.","","","","","","","","","","","","","","","","","","",""
"Laurences","Blyth","Northumberland","NE24 1BU","No","Message on Facebook or 07969138899.","https://www.facebook.com/laurencesblyth/posts/153110439818925","Free meals and raffle","","","","","","","","","","","","","","","","","","",""
"Top Nosh","Hexham","Northumberland","NE46 3PU","No","Message on Facebook","https://www.facebook.com/permalink.php?story_fbid=3922219714474579&id=495294590500459","small sandwich, a drink a piece of fruit & a bag of crisps. ","","","","","","","","","","","","","","","","","","",""
"The Vale Cafe","Rothbury","Northumberland","NE65 7TE","Rothbury First School
Dr Thomlinson Middle School
Harbottle First School 
Whittingham Primary School 
Thropton First School
King Edward VI, Morpeth","Visit restaurant","https://www.facebook.com/thevalecafe/posts/2845089085720050","any child that is in receipt of free school meals will be entitled to a free hot/cold meal, each day, from our cafe (from a specified menu).","","","","","","","","","","","","","","","","","","",""
"Cramlington in the Community","East Hartford","Northumberland","NE23 3AU","No","Visit football club","https://www.facebook.com/cramlingtoninthecommunity/posts/163968332070679","Cramlington Town Football Club in partnership with Cramlington in the Community will be offering a free packed lunch (sandwich , crisps, fruit, biscuit/cake and drink ) to children of those families   No questions asked 
From Monday 26 October - Friday 30 October pop down to our East Hartford site NE23 3AU between 11.30am - 1.00pm to collect","","","","","","","","","","","","","","","","","","",""
"Moo moo's steakhouse","Wansbeck","Northumberland","NE63 0AG","No","Message on facebook","https://www.facebook.com/moomoossteak/posts/3399907896753748","We will prepare 25 packed lunches which can be collected between 11-12 during half term Monday to Friday.","","","","","","","","","","","","","","","","","","",""
"Farm Fresh","Watnall","Nottingham","NG16 1HS","No","Visit restaurant","https://www.facebook.com/farmfreshuk/posts/181672986851028","Mon to Fri. A cob or standard/vegan sausage roll and a carton of apple or orange juice.","","","","","","","","","","","","","","","","","","",""
"The Pudding Pantry","Nottingham","Nottinghamshire","NG1 4AF","No","Visit restaurant","https://www.facebook.com/thepuddingpantry/posts/2834461190133585","Sandwich and treat","","","","","","","","","","","","","","","","","","",""
"Village Bakery & Cafe","Waterlooville","Portsmouth","PO7 5EW","No","Message on facebook","https://www.facebook.com/theVillagebakeryandcafe/posts/3373351499400842","Collection daily Monday - Friday 11am - 1pm frOm the Village Barkery, 142 London Road Purbrook PO7 5DW","","","","","","","","","","","","","","","","","","",""
"The Village Fish Bar","Bamber Bridge","Preston","PR5 6JJ","No","Visit restaurant","https://www.facebook.com/fishbar.thevillage/posts/3289989864412497","each school age child a free meal each lunch time next week with a choice of; sausage and chips, chips and gravy or chips and curry sauce. (One meal per child per lunch time)","","","","","","","","","","","","","","","","","","",""
"St James the Lees Church","Rawtenstall","Rossendale","BB4 8HH","No","Visit restaurant","https://twitter.com/MarcusRashford/status/1319561595647856645?s=20","Packed lunch","","","","","","","","","","","","","","","","","","",""
"Seven Bro7hers","Salford","Salford","M5 4YP","No","Call 07950948162","https://twitter.com/SevenBroMLocks/status/1319617094468702208?s=20","free takeaway packed lunches this half-term (Mon-Fri 10-12) ","","","","","","","","","","","","","","","","","","",""
"Salford City Council","Salford","Salford","M27 5DA","No","Contact council","https://www.salford.gov.uk/your-council/news/salford-city-mayor-announces-free-school-holiday-meals/?utm_source=Twitter&utm_medium=social&utm_campaign=SocialSignIn","","","","","","","","","","","","","","","","","","","",""
"Lime Bar","Salford Quays","Salford","M50 3AG","No","Call 0161 869 0440 / email bookings@limeuk.com ","https://twitter.com/Lime_Bar/status/1319695205549940736","Any child dining under age of 16 will receive a free kids meal, ice cream & soft drink","","","","","","","","","","","","","","","","","","",""
"Handsworth Inn","Handsworth","Sheffield","S13 9BP","No","Message on Facebook","https://www.facebook.com/Thehandsworthinn/posts/1350873558594762"," MONDAY,WEDNESDAY AND FRIDAY NEXT WEEK WE WILL BE PUTTING TOGETHER SOME PACKED LUNCHES TO HELP TAKE SOME STRESS AWAY FROM STRUGGLING PARENTS. ","","","","","","","","","","","","","","","","","","",""
"Delphine Fish and Chips","Heeley","Sheffield","S8 0RL","No","Visit restaurant","https://www.facebook.com/womenofdelphine/posts/372342134106269","So next Tuesday 27th October, any child (up to the age of 16) is welcome to come into Delphine (must be accompanied by an adult) and ask our server for a hot meal, piece of fruit and a drink","","","","","","","","","","","","","","","","","","",""
"The Greystones","Sheffield","Sheffield","S11 7BS","No","Message on Twitter","https://twitter.com/TheGreystones/status/1319588236742791169?s=20","Monday to Friday next week by 11am and we will have a no questions asked lunch grab bag available for your child","","","","","","","","","","","","","","","","","","",""
"The Rhubarb Shed Cafe","Sheffield","Sheffield","S2 1UL","No","Visit restaurant","https://www.facebook.com/therhubarbshed/posts/2062990050491978","Next Thursday(29th) any child (16 or under) can come to our cafe (accompanied by a parent or guardian) and ask for either:
* a sandwich
* a cupcake
* hot chocolate
and they will get this for free. ","","","","","","","","","","","","","","","","","","",""
"Bowring Park Cafe","Telford","Shropshire","TF1 1QX","No","","https://twitter.com/MarcusRashford/status/1319412144878870528?s=20","Free lunches for U16s","","","","","","","","","","","","","","","","","","",""
"Green Fields Farm Shop","Telford","Shropshire","TF2 8JY","No","Message on Facebook","https://www.facebook.com/Greenfieldsfarmshop/posts/10159204703835087","We will make up a sandwich box with a piece of fruit for children, free of charge, in the school holidays.","","","","","","","","","","","","","","","","","","",""
"Telford and Wrekin Council","Telford and Wrekin","Shropshire","TF3 4NT","","Contact council","https://twitter.com/TelfordWrekin/status/1319596030736977925","extended our free school meal breakfast provision into the New Year and beyond","","","","","","","","","","","","","","","","","","",""
"Summer House Interiors","Shrewsbury","Shropshire","SY1 3GB","No","Message on Facebook","https://www.facebook.com/SummerHouseInteriors/posts/3649973778358679","We will make up a sandwich, with a piece of fruit and a bottle of water for children free of charge","","","","","","","","","","","","","","","","","","",""
"Fair Frome","Frome","Somerset","BA11 1EB","No","Email info@fairfrome.org","https://twitter.com/MarcusRashford/status/1319703497584136193?s=20","Takeaway","","","","","","","","","","","","","","","","","","",""
"Jennys Brackley","Brackley","South Northamptonshire","NN13 7BW","No","Message on Facebook","https://www.facebook.com/JennysCafeBrackley/posts/4631973670209734","low income families who would usually receive FREE school meals by providing them with a hot children’s meal from our menu FREE of charge ","","","","","","","","","","","","","","","","","","",""
"Tintinhull Village Hall and Coffee Shop","Yeovil","South Somerset","BA22 8PY","No","Visit restaurant","https://www.facebook.com/Tintinhullvillagehallandcoffeeshop/posts/1479684048909464","Free soup or beans on toast","","","","","","","","","","","","","","","","","","",""
"The Marmalade Hut ","Rotherham","South Yorkshire","S66 3XJ","No","Visit restaurant","https://www.facebook.com/TheMarmaladeHutLtd/posts/1674659249367686","12-2pm free ham/cheese sandwich and bag of crisps for U16s","","","","","","","","","","","","","","","","","","",""
"The Sandwich Shop","Rotherham","South Yorkshire","S66 9AQ","No","Message on Facebook","https://www.facebook.com/sandwichshopthurcoft/posts/995367060964573","free hot/cold sandwich and piece of fruit for your child's lunch.","","","","","","","","","","","","","","","","","","",""
"Lillie's Coffee Shop","Rotherham","South Yorkshire","S66 2SF","No","Visit restaurant","https://www.facebook.com/permalink.php?story_fbid=2069492743180917&id=430279340435607","Each lunch bag will include a sandwich of choice, piece of fruit, crisps and something sweet
A parent or guardian will need to order these and also collect these no child will be able to collect unless accompanied by an adult.","","","","","","","","","","","","","","","","","","",""
"Matki Chai","Rotherham","South Yorkshire","S65 1PS","No","Visit restaurant","https://twitter.com/MarcusRashford/status/1319665647748599808?s=20","Free kids meals","","","","","","","","","","","","","","","","","","",""
"Estabulo Rodizio Bar & Grill","Doncaster","South Yorkshire","DN4 7FW","No","Visit restaurant","https://www.facebook.com/EstabuloDoncaster/photos/a.603856970136213/993031207885452/?type=3&sfnsn=scwspmo","We will be preparing 100 meals a day at each of our 10 sites to provide 1000 meals every day for 15 days during the half term break. These will be available to collect from our reception areas between 4-5pm daily starting from Monday 26th October through to Monday 9th November.","","","","","","","","","","","","","","","","","","",""
"Lakaz Maman","Southampton","Southampton","SO15 2DB","No","email info@lakazmaman.com","https://www.facebook.com/permalink.php?story_fbid=2088361834621506&id=317392611718446","select one of the following provide your name
1. Chicken Cari with Saffron Rice 
2. Butterbean Cari with Saffron Rice 
3. Chicken and Mango Wrap
4. Butterbean Wrap ","","","","","","","","","","","","","","","","","","",""
"Kuti's Brasserie","Southampton","Southampton","SO14 2AQ","No","","https://www.facebook.com/Kutisbrasserie/posts/3699457030102699","Free hot meals to children 12-2:30pm","","","","","","","","","","","","","","","","","","",""
"T.K's Cafe","Harpenden","St Albans","AL5 1PU","No","Message on Facebook","https://www.facebook.com/tkscafeharpenden/posts/3662326507121138","free children's packed lunch over the half term","","","","","","","","","","","","","","","","","","",""
"Pabna Restaurant","Leek","Staffordshire","ST13 5AS","No","Message on Facebook","https://www.facebook.com/permalink.php?story_fbid=10157984111108089&id=200548183088","","","","","","","","","","","","","","","","","","","",""
"The Liquor Tank","Cannock","Staffordshire","WS11 1GR","No","Visit restaurant","https://www.facebook.com/TheLiquorTank/photos/a.565900947106190/1249519328744345","Free packed lunches","","","","","","","","","","","","","","","","","","",""
"Lowestoft Tandoori","Lowestoft","Suffolk","NR32 1HU","No","Message on Facebook","https://www.facebook.com/LowestoftTandoori/posts/3569703453095340","","","","","","","","","","","","","","","","","","","",""
"Oliver's","Haslemere","Surrey","GU27 2AD","No","Visit restaurant","https://www.facebook.com/permalink.php?story_fbid=897577690772437&id=428215164375361","free school meals a sandwich, carrot sticks and a drink completely free of charge","","","","","","","","","","","","","","","","","","",""
"Whitley Bait","Whitley Bay","Tyne and Wear","NE26 3RL","No","Message on Facebook","https://www.facebook.com/WhitleyBaitSandwichandCoffeeBar/posts/236292864493047","Free packed lunch","","","","","","","","","","","","","","","","","","",""
"Gateshead Leam Rangers","Gateshead","Tyne and Wear","NE10 8LT","No","Visit clubhouse","https://twitter.com/LeamRangers/status/1319681901511299073?s=20","free packed lunches and hot food during half-term","","","","","","","","","","","","","","","","","","",""
"Birchwood Centre","Skelmersdale","West Lancashire","WN8 6AN","No","Visit restaurant","https://twitter.com/BirchwoodCentre?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","Free lunches Mon 26 Oct 12-1pm","","","","","","","","","","","","","","","","","","",""
"Jordan's Cafe","Worthing","West Sussex","BN14 7AA","No","Visit restaurant","https://www.facebook.com/jordanscafeworthing/posts/217931899669753","If you call into the shop next week we will give you a FREE Kids meal!
Choose from 
Sausage & Chips OR Chicken Nuggets & Chips","","","","","","","","","","","","","","","","","","",""
"Rudi's Retreat","Huddersfield","West Yorkshire","HD7 5AW","No","Message on Twitter","https://twitter.com/Ruddisretreat/status/1319501797627658241?s=20","Packed lunch","","","","","","","","","","","","","","","","","","",""
"Leeds Refills Zero Waste","Leeds","West Yorkshire","LS1 5AP","No","Message the business. Either pick up food or we deliver to LS postcodes","https://www.facebook.com/leedsrefills/photos/a.125067856027263/134610601739655","Vegan and Veggie Organic food parcels of noodles, rice, pasta, sugar, chocolate, marshmellows, Lentils, spices. Should be able to make 5 meals worth of food.","","","","","","","","","","","","","","","","","","",""
"Pound Arts Cafe","Corsham","Wiltshire","SN13 9HX","No","Call before 10.30am Mon-Fri","https://twitter.com/poundarts/status/1319586633826635776?s=20","Call us on 01249 701628 and then come and ask for a ""School Lunch"" - no questions asked, no purchase necessary.","","","","","","","","","","","","","","","","","","",""
"Ma Baker","Worcester","Worcestershire","WR4 9PA","No","Visit restaurant","https://www.facebook.com/Worcesterbaker/posts/4497765750293451","a filled roll or a hot pastry.","","","","","","","","","","","","","","","","","","",""
"Fair Maid","Cottingham","Yorkshire","HU16 5AB","No","Message on Facebook","https://www.facebook.com/permalink.php?story_fbid=3713915985337183&id=240249442703872","Free hot meal","","","","","","","","","","","","","","","","","","",""
